Scan;TimeJ;TimeS;PrDM;T090C;T190C;T2-T190C;C0S/m;C1S/m;C2-C1S/m;V0;CStarAt0;CStarTr0;V1;FlECO-AFL;V2;AltM;V3;V4;Sbeox0V;V5;Sbeox1V;V6;Par;Cpar;V7;Spar;Pumps;Latitude;Longitude;DepSM;Sal00;Sal11;Sigma-é00;Sigma-é11;Sbox0Mm/Kg;Sbox1Mm/Kg;OxsolMm/Kg;OxsatMm/Kg;Potemp090C;Potemp190C;SvCM;SvCM1;Dz/dtM;Gpa;Nbin;Flag
2923;209.426483;121.745;35.273;18.6487;18.6479;-0.0008;4.665230;4.665348;0.000109;4.4963;0.5975;86.1246;0.1213;0.2418;0.0518;1.04;1.7322;2.7198;2.7198;3.3563;3.3563;0.1527;4.5886e+00;3.9406e+00;0.0000;1.1653e+02;1;39.93316;-70.88476;35.000;35.0726;35.0742;25.1674;25.1688;259.215;256.334;231.04370;230.66805;18.6425;18.6417;1518.34;1518.33;0.557;1.475;42;0.0000e+00
2980;209.426514;124.145;36.281;18.5940;18.6043;0.0102;4.661755;4.662619;0.001263;4.4968;0.5970;86.1358;0.1221;0.2465;0.6154;12.31;1.6989;2.7101;2.7102;3.3375;3.3376;0.1267;4.2412e+00;3.4787e+00;0.0000;1.2186e+02;1;39.93314;-70.88476;36.000;35.0894;35.0880;25.1940;25.1904;258.586;254.790;231.25095;230.87749;18.5877;18.5979;1518.21;1518.24;0.408;1.503;60;0.0000e+00
3020;209.426544;125.792;37.289;18.4367;18.4457;0.0090;4.647258;4.648237;0.001441;4.4936;0.5999;86.0733;0.1243;0.2597;0.9687;19.37;1.6643;2.7105;2.7105;3.3346;3.3346;0.1541;3.9110e+00;3.4699e+00;0.0000;1.1270e+02;1;39.93314;-70.88476;37.000;35.1007;35.1013;25.2422;25.2404;259.876;255.979;231.90712;231.53984;18.4302;18.4392;1517.79;1517.82;0.800;1.531;29;0.0000e+00
3065;209.426559;127.662;38.297;18.3671;18.3807;0.0135;4.640338;4.641905;0.001734;4.4901;0.6030;86.0055;0.1260;0.2701;0.7348;14.70;1.6325;2.7079;2.7079;3.3348;3.3348;0.1529;3.6300e+00;3.0571e+00;0.0000;1.1907e+02;1;39.93314;-70.88477;38.000;35.1011;35.1028;25.2600;25.2579;259.603;256.128;232.20558;231.84103;18.3605;18.3740;1517.61;1517.65;0.401;1.558;76;0.0000e+00
3135;209.426590;130.596;39.305;18.3111;18.2855;-0.0256;4.635283;4.633157;-0.001674;4.4959;0.5978;86.1177;0.1271;0.2765;-0.0004;-0.01;1.6006;2.7016;2.7016;3.3286;3.3287;0.1528;3.3652e+00;2.8840e+00;0.0000;1.1668e+02;1;39.93314;-70.88478;39.000;35.1058;35.1096;25.2776;25.2869;259.014;255.472;232.43987;232.07756;18.3043;18.2787;1517.47;1517.40;0.512;1.586;46;0.0000e+00
3181;209.426620;132.499;40.313;18.2228;18.2230;0.0002;4.628226;4.628344;0.000212;4.4959;0.5978;86.1172;0.1271;0.2763;0.8980;17.96;1.5660;2.6955;2.6955;3.3151;3.3151;0.1527;3.1018e+00;2.6359e+00;0.0000;1.1780e+02;1;39.93312;-70.88478;40.000;35.1211;35.1219;25.3113;25.3119;258.686;254.981;232.79707;232.43842;18.2159;18.2161;1517.24;1517.25;0.453;1.613;53;0.0000e+00
3257;209.426651;135.675;41.320;18.1688;18.1717;0.0029;4.624288;4.624709;0.000501;4.4953;0.5984;86.1052;0.1310;0.3003;1.3067;26.13;1.5301;2.6902;2.6902;3.3174;3.3175;0.1338;2.8467e+00;2.3700e+00;0.0000;1.2007e+02;1;39.93312;-70.88479;41.000;35.1335;35.1346;25.3343;25.3344;258.614;255.683;233.01155;232.65515;18.1617;18.1646;1517.12;1517.13;0.293;1.639;80;0.0000e+00
3309;209.426682;137.823;42.328;18.1416;18.1416;0.0000;4.622406;4.622600;0.000275;4.4948;0.5988;86.0969;0.1290;0.2879;0.4596;9.19;1.5007;2.6853;2.6854;3.3120;3.3120;0.1533;2.6557e+00;2.2330e+00;0.0000;1.1897e+02;1;39.93312;-70.88480;42.000;35.1404;35.1421;25.3464;25.3477;257.949;254.436;233.11844;232.76318;18.1343;18.1343;1517.06;1517.07;0.652;1.666;36;0.0000e+00
3356;209.426697;139.777;43.336;18.1003;18.1013;0.0010;4.619698;4.619954;0.000310;4.4969;0.5969;86.1365;0.1307;0.2981;0.7685;15.37;1.4653;2.6711;2.6711;3.2853;3.2853;0.1526;2.4416e+00;2.0320e+00;0.0000;1.2017e+02;1;39.93312;-70.88480;43.000;35.1525;35.1538;25.3659;25.3666;255.052;251.073;233.27890;232.92540;18.0928;18.0939;1516.97;1516.98;0.396;1.693;68;0.0000e+00
3418;209.426727;142.377;44.344;17.9764;17.9887;0.0123;4.610239;4.611024;0.002092;4.4842;0.6085;85.8901;0.1316;0.3036;-0.0318;-0.64;1.4340;2.6326;2.6326;3.2250;3.2250;0.1526;2.2648e+00;1.9294e+00;0.0000;1.1740e+02;1;39.93310;-70.88482;44.000;35.1779;35.1741;25.4160;25.4100;250.537;246.213;233.77885;233.43066;17.9688;17.9811;1516.66;1516.69;0.567;1.719;42;0.0000e+00
3455;209.426743;143.910;45.352;17.4967;17.5070;0.0104;4.566999;4.567689;0.001986;4.4938;0.5997;86.0772;0.1407;0.3582;0.2774;5.55;1.4007;2.6136;2.6136;3.2077;3.2077;0.1527;2.0920e+00;1.7265e+00;0.0000;1.2123e+02;1;39.93310;-70.88482;45.000;35.2210;35.2180;25.5664;25.5615;251.253;247.784;235.82123;235.49379;17.4890;17.4994;1515.31;1515.34;0.575;1.744;42;0.0000e+00
3515;209.426773;146.416;46.360;17.1235;17.1550;0.0315;4.530150;4.533437;0.004114;4.4842;0.6084;85.8901;0.1597;0.4721;1.3464;26.93;1.3631;2.5890;2.5890;3.1856;3.1855;0.1406;1.9105e+00;1.5994e+00;0.0000;1.1945e+02;1;39.93310;-70.88482;46.000;35.2261;35.2272;25.6601;25.6535;250.013;246.585;237.47878;237.16805;17.1159;17.1473;1514.23;1514.32;0.337;1.768;71;0.0000e+00
3573;209.426804;148.853;47.368;16.9357;16.9354;-0.0003;4.512974;4.512980;0.000517;4.4780;0.6140;85.7705;0.1710;0.5401;-0.1649;-3.30;1.3296;2.5564;2.5563;3.1398;3.1398;0.1364;1.7614e+00;1.4566e+00;0.0000;1.2091e+02;1;39.93310;-70.88482;47.000;35.2403;35.2406;25.7159;25.7162;245.242;241.616;238.30193;237.99991;16.9279;16.9276;1513.70;1513.70;5.753;1.791;35;0.0000e+00
3587;209.426804;149.408;48.376;16.8468;16.8633;0.0165;4.504998;4.506075;0.002538;4.4748;0.6169;85.7079;0.1723;0.5476;0.0145;0.29;1.3186;2.5406;2.5405;3.1164;3.1163;0.1532;1.7155e+00;1.4209e+00;0.0000;1.2073e+02;1;39.93310;-70.88482;48.000;35.2481;35.2430;25.7430;25.7352;241.470;236.660;238.69279;238.39502;16.8389;16.8553;1513.46;1513.50;101.199;1.814;5;0.0000e+00
3589;209.426819;149.508;49.384;16.8254;16.8366;0.0112;4.502929;4.503731;0.002309;4.4744;0.6173;85.7000;0.1738;0.5570;0.0147;0.29;1.3170;2.5370;2.5369;3.1094;3.1093;0.1526;1.7092e+00;1.4156e+00;0.0000;1.2073e+02;1;39.93310;-70.88482;49.000;35.2483;35.2455;25.7482;25.7434;240.813;235.722;238.78940;238.49261;16.8174;16.8286;1513.41;1513.44;180.422;1.837;2;0.0000e+00
3591;209.426819;149.581;50.392;16.8133;16.8231;0.0098;4.501719;4.502500;0.001948;4.4749;0.6168;85.7104;0.1816;0.6037;0.0193;0.39;1.3174;2.5337;2.5336;3.1051;3.1051;0.1526;1.7108e+00;1.4170e+00;0.0000;1.2073e+02;1;39.93310;-70.88482;50.000;35.2479;35.2462;25.7509;25.7472;240.287;235.152;238.84503;238.54883;16.8051;16.8149;1513.39;1513.42;205.027;1.859;1;0.0000e+00
3592;209.426819;149.628;51.400;16.8066;16.8146;0.0080;4.501033;4.501619;0.001838;4.4737;0.6180;85.6853;0.1832;0.6135;0.0222;0.44;1.3175;2.5309;2.5308;3.1011;3.1010;0.1526;1.7109e+00;1.4171e+00;0.0000;1.2073e+02;1;39.93310;-70.88482;51.000;35.2474;35.2455;25.7521;25.7487;239.904;234.694;238.87625;238.58037;16.7982;16.8062;1513.39;1513.41;209.736;1.882;1;0.0000e+00
3593;209.426819;149.663;52.408;16.8017;16.8085;0.0068;4.500539;4.501156;0.001821;4.4737;0.6179;85.6871;0.1832;0.6129;0.0220;0.44;1.3152;2.5311;2.5310;3.0980;3.0979;0.1526;1.7017e+00;1.4094e+00;0.0000;1.2073e+02;1;39.93310;-70.88482;52.000;35.2470;35.2464;25.7530;25.7509;239.874;234.375;238.89928;238.60362;16.7931;16.8000;1513.39;1513.41;209.022;1.905;1;0.0000e+00
3617;210.795563;150.687;54.424;16.9051;16.9122;0.0071;4.529379;4.530148;0.001519;4.5042;0.6208;86.2711;0.1843;0.6169;0.0221;0.44;1.3224;2.5452;2.5451;3.1155;3.1154;0.1524;1.7069e+00;1.4137e+00;0.0000;1.2152e+02;1;40.19409;-71.34810;54.000;35.4773;35.4778;25.9228;25.9215;241.114;235.611;240.48978;240.19249;16.8962;16.9033;1523.29;1523.31;206.699;1.955;1;0.0000e+00
3615;210.599304;150.588;56.440;16.8847;16.8921;0.0074;4.524893;4.525453;0.001302;4.4976;0.6224;86.1430;0.1842;0.6163;0.0221;0.44;1.3212;2.5404;2.5403;3.1089;3.1088;0.1535;1.7053e+00;1.4124e+00;0.0000;1.2141e+02;1;40.15667;-71.28167;56.000;35.4452;35.4436;25.9006;25.8976;240.594;235.038;240.28575;239.98897;16.8755;16.8829;1521.89;1521.91;200.452;1.999;1;0.0000e+00
3573;208.075867;148.825;58.456;16.6790;16.6846;0.0056;4.470542;4.470765;0.001092;4.4449;0.6139;85.1344;0.1820;0.6089;0.0194;0.39;1.3041;2.5075;2.5074;3.0680;3.0679;0.1504;1.6799e+00;1.3914e+00;0.0000;1.1996e+02;1;39.67550;-70.42756;58.000;35.0213;35.0183;25.5917;25.5881;237.426;231.917;237.42068;237.12761;16.6694;16.6750;1503.69;1503.70;190.269;2.036;1;0.0000e+00
3601;209.681458;150.016;62.488;16.8046;16.8096;0.0050;4.504781;4.505051;0.000839;4.4816;0.6164;85.8388;0.1834;0.6136;0.0147;0.29;1.3129;2.5257;2.5256;3.0880;3.0879;0.1528;1.6878e+00;1.3980e+00;0.0000;1.2088e+02;1;39.98166;-70.97101;62.000;35.2906;35.2885;25.7894;25.7866;239.153;233.418;239.26830;238.97311;16.7944;16.7994;1515.34;1515.35;182.526;2.132;1;0.0000e+00
3619;210.647476;150.749;67.528;16.8788;16.8835;0.0047;4.525373;4.525674;0.000559;4.4998;0.6215;86.1866;0.1842;0.6165;0.0123;0.25;1.3178;2.5348;2.5347;3.0985;3.0984;0.1535;1.6906e+00;1.4002e+00;0.0000;1.2144e+02;1;40.16586;-71.29797;67.000;35.4527;35.4512;25.9088;25.9065;240.039;234.261;240.38588;240.08948;16.8678;16.8724;1522.39;1522.40;173.072;2.249;1;0.0000e+00
